"file","measure","chord","sideArrivalRoot","sideArrivalRelation","melodyClass","windowMeasures","proposalCount","matchingProposalCount","matchingExamples","diagnosis"
"Airegin.musicxml","30","E7(b9)","Ab","target-lower-chromatic-neighbor","melody-supports-dominant","26 27 28 29 30 31 33 34","7","4","Estratégia — Centro de referência: 26:Eb7 | 27:Ab | 28:Bbm7 | 29:Fm7 | 30:Db | 31:Ab | 33:Ab | 34:Ab / Estratégia — Centro modal: 26:Abm | 27:Gb | 28:Gb | 29:Abm | 30:Abm | 31:Abm | 33:Abm | 34:Abm / Estratégia — Tonal Clássico: 26:Abmaj7 | 28:Dbmaj7 | 30:Abmaj7/Eb | 32:Abmaj7","A janela forcada gera candidato com chegada lateral."
"imported-real-book/a-014-Ain't misbehavin.musicxml","30","E7(b9)","Ab","target-lower-chromatic-neighbor","melody-supports-dominant","26 27 28 29 30 31 33 34","4","2","Estratégia — Centro de referência: 26:Eb7 | 27:Ab | 28:Bbm7 | 29:Fm7 | 30:Db | 31:Ab | 33:Ab | 34:Ab / Estratégia — Centro modal: 26:Abm | 27:Gb | 28:Gb | 29:Abm | 30:Abm | 31:Abm | 33:Abm | 34:Abm","A janela forcada gera candidato com chegada lateral."
"imported-real-book/a-027-All of you.musicxml","16","E7(#9)","Ab","target-lower-chromatic-neighbor","melody-supports-side-arrival","16 17 18 19 20 21 22 23","2","1","Estratégia — Centro de referência: 16:Ab | 17:Ab | 18:Ab | 19:Ab | 20:Ab | 21:Ab | 22:Bbm7 | 23:Ab","A janela forcada gera candidato com chegada lateral."
"imported-real-book/b-033-Blue Monk.musicxml","31","B7(#9)","Eb","target-lower-chromatic-neighbor","melody-supports-side-arrival","26 27 28 29 30 31 32 33","9","1","Estratégia — Centro de referência: 26:Eb | 27:Bb7 | 28:Eb | 29:Eb | 30:Eb | 31:Fm7 | 32:Eb | 33:Eb","A janela forcada gera candidato com chegada lateral."
"imported-real-book/c-002-Cantaloupe island.musicxml","31","G7alt","F","target-plagal-region","melody-weak-evidence","29 30 31 32 33 34 35 36","8","3","Estratégia — Dominantes secundárias: 29:F | 30:Bb | 31:C7/E | 32:F | 33:F | 34:F7/Bb/Bb/F | 35:Em7b5/G7/C7/E | 36:F / Estratégia — Diminutos de passagem: 29:F | 30:Bb | 31:C7/E | 32:F | 33:F | 34:Adim7/Bb/Bb/F | 35:Em7b5/Bdim7/C7/E | 36:F / Estratégia — Centro modal: 29:Fm | 30:Fm | 31:Eb | 32:Fm | 33:Fm | 34:Fm | 35:Fm | 36:Fm","A janela forcada gera candidato com chegada lateral."
"imported-real-book/d-003-Daahood.musicxml","23","Ab7(b9)","Gb","target-plagal-region","melody-supports-dominant","19 20 21 22 23 24 25 26","2","0","","Mesmo com janela forcada, o gerador nao produziu chegada lateral."
"imported-real-book/d-003-Daahood.musicxml","24","D7(b13,b9)","F","target-lower-whole-neighbor","melody-ambiguous","19 20 21 22 23 24 25 26","2","0","","Mesmo com janela forcada, o gerador nao produziu chegada lateral."
"imported-real-book/d-023-Dolphin dance.musicxml","3","C7(#9)/Eb","G","target-upper-whole-neighbor","melody-weak-evidence","3 4 8 9 10 11 12 13","8","2","Estratégia — Melodia primeiro: 3:Gm7b5 | 4:Fm7 | 8:Gm7b5 | 9:Ab6/9 | 10:Ab6/9 | 11:Gm7b5 | 12:Ab6/9 | 13:Ab / Estratégia — Gramática funcional ii-V: 4:Gm7b5 | 8:C7b13 | 9:Fm6","A janela forcada gera candidato com chegada lateral."
