"file","title","decisionType","status","selectedCenter","referenceStatus","functionAgreement","rootAgreement","comparedMeasures","proposalName","action","causes","proposalChords","parseError"
"a-010-After you.musicxml","After you","Centro de referencia","base-ok","Bb major","aligned","1","0","1","Estratégia — Cromático Linear","Usar como ancora positiva da calibragem.","function-preserved-root-changed global-center-aligned-local-mismatch root-drift","Bb6 / Bdim7 / C7 / F7",""
"a-006-African flower.musicxml","African flower","Centro de referencia","base-ok","F minor","aligned","1","1","1","Estratégia — Tonal Clássico","Usar como ancora positiva da calibragem.","","Fmaj7 / Fm7/Bb / Fmaj7/C / Fm7",""
"a-013-Ain't it the truth.musicxml","Ain't it the truth","Centro de referencia","base-ok","Eb major","aligned","1","1","1","Estratégia — Tonal Clássico","Usar como ancora positiva da calibragem.","","Ebmaj7 / Bb7/Ab / Ebmaj7/Bb / Ebmaj7",""
"b-032-Blue in green.musicxml","Blue in green","Harmonia basica","base-ok","Bb major","aligned","1","1","1","Estratégia — Tonal Clássico","Usar como ancora positiva da calibragem.","","Bbmaj7 / F7/Eb / Bb6/F / Bbmaj7",""
"f-033-Freight trane.musicxml","Freight trane","Harmonia basica","base-ok","C major","aligned","0.5","1","8","Estratégia — Vamp dominante","Usar como ancora positiva da calibragem.","apparent-function-preserved local-center-aligned-global-mismatch","C13 | C13 | Bb13 | C13 | Bb13 | C13sus4 / C13 | Bb13sus4 / Bb13 | C13sus4 / C13",""
"e-011-End of a love affair.musicxml","End of a love affair","Harmonia basica","base-ok","F# major","aligned","1","0","1","Estratégia — Cromático Linear","Usar como ancora positiva da calibragem.","function-preserved-root-changed global-center-aligned-local-mismatch root-drift","F#maj7 / A#dim7/G / B#dim7/G / G#7",""
