"file","title","status","referenceCenter","referenceIdiom","harmonyCount","signalScore","iiVCells","appliedDominants","primaryDominants","tritoneSubstitutions","diminishedChords","resolvedDiminished","modalBorrowingColors","minorPlagalCadences","tonicMajorSixths","slashChordDensity","examples","notes"
"Ain't misbehavin.musicxml","Untitled score","ok","Eb major","major-functional","50","24.1","1","11","3","0","5","3","0","2","6","0.1","Eb6 / E° / F#° / Eb/G / Ab6 / Abm6 / Eb6/G / C7(b9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; mistura modal funcional; cor de tonica 6/6-9"
"Air mail special.musicxml","Untitled score","ok","Ab major","blues","54","24.94","6","3","9","2","10","2","0","0","10","0.02","Ab6 / Eb7 / Ab6 / Eb7 / Ab6 / Ab7 / Db6 / D°","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"Airegin.musicxml","Untitled score","ok","Bb minor","minor-functional","46","12.9","4","4","4","1","0","0","0","0","0","0","C7alt / F7(b9) / F7alt / Bb7 / G7 / Gb7 / F7 / Eb7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"asa branca.musicxml","Untitled score","no-reference-harmony","n/a","n/a","0","0","0","0","0","0","0","0","0","0","0","0","","Sem cifras de referencia."
"autum leaves.musicxml","Autumn leaves","ok","E minor","minor-functional","67","36.6","16","8","10","2","0","0","0","0","0","0","D7 / B7(b13) / Em6 / Em6 / D7 / B7(b13) / Em6 / Em6","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"Bright Size Life.musicxml","Imported Score","ok","D major","major-functional","18","5.62","0","0","2","0","0","0","3","0","0","0.56","Bb/A / D9 / D/C / G/A / G/B / G/A / F/G / A7/E","mistura modal funcional"
"exemplo.musicxml","Untitled score","no-reference-harmony","n/a","n/a","0","0","0","0","0","0","0","0","0","0","0","0","","Sem cifras de referencia."
"imported-real-book/a-002-A child is born.musicxml","A child is born","ok","C major","blues","59","18.64","3","4","3","3","4","2","0","0","6","0.07","C6 / C#° / G7 / G7/D / D#dim7 / G7 / C6 / C7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/a-004-Actual proof.musicxml","Actual proof","ok","G major","minor-functional","21","6.6","1","1","1","2","0","0","1","0","0","0","D7 / E7 / Asus4(7) / F7 / Eb7 / Asus4(7)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: minor-functional"
"imported-real-book/a-005-Affirmation.musicxml","Affirmation","ok","Eb minor","minor-functional","23","1.7","0","1","1","0","0","0","0","0","0","0","Gb7 / Cb7 / Gb7(#11) / Ab7 / D7 / Bb7","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/a-006-African flower.musicxml","African flower","ok","F minor","minor-functional","49","0","0","0","0","0","0","0","0","0","0","0","Ebsus4(7) / Dbsus4(7) / Ebsus4(7) / Ebsus4(7) / Dbsus4(7) / Ebsus4(7)","leitura harmonica inferida: minor-functional"
"imported-real-book/a-007-Afro blue.musicxml","Afro blue","ok","Gb major","major-functional","12","0","0","0","0","0","0","0","0","0","0","0","","Vocabulário funcional direto, sem cromatismo aplicado forte nesta leitura."
"imported-real-book/a-008-Afro-centric.musicxml","Afro-centric","ok","Gb major","major-functional","11","0","0","0","0","0","0","0","0","0","0","0","","Vocabulário funcional direto, sem cromatismo aplicado forte nesta leitura."
"imported-real-book/a-009-Afro-centric.musicxml","Afro-centric","ok","G major","minor-functional","55","5.1","0","0","0","0","0","0","4","0","0","0.35","G/A / F#/A / A/C# / G/A / G/A / F#/D / F7 / G/A","mistura modal funcional; leitura harmonica inferida: minor-functional"
