"file","title","measure","chord","expectedTarget","sideArrivalRoot","sideArrivalRelation","nextChords","melodyPitches","dominantCoverage","sideArrivalCoverage","targetRootCoverage","reviewClass","notes"
"Airegin.musicxml","Untitled score","30","E7(b9)","A","Ab","target-lower-chromatic-neighbor","Ab / Ab6 / Gm7(b5) / C7","E D","1","0","0","melody-supports-dominant","A melodia sustenta a sonoridade da dominante alterada, mesmo sem alvo local claro."
"imported-real-book/a-014-Ain't misbehavin.musicxml","Ain't misbehavin","30","E7(b9)","A","Ab","target-lower-chromatic-neighbor","Ab / Ab6 / Gm7(b5) / C7","E D","1","0","0","melody-supports-dominant","A melodia sustenta a sonoridade da dominante alterada, mesmo sem alvo local claro."
"imported-real-book/a-027-All of you.musicxml","All of you","16","E7(#9)","A","Ab","target-lower-chromatic-neighbor","Ab / Ab / Ab(#5) / Ab6","Eb","0","1","0","melody-supports-side-arrival","A melodia sustenta melhor a chegada lateral do que o alvo funcional esperado."
"imported-real-book/b-033-Blue Monk.musicxml","Blue Monk","31","B7(#9)","E","Eb","target-lower-chromatic-neighbor","Eb6 / A7(b5) / Abm7 / Fm7","F Eb C","0","0.67","0","melody-supports-side-arrival","A melodia sustenta melhor a chegada lateral do que o alvo funcional esperado."
"imported-real-book/c-002-Cantaloupe island.musicxml","Cantaloupe island","31","G7alt","C","F","target-plagal-region","Fm6(9)","C G","0.5","1","0.5","melody-weak-evidence","A melodia nao oferece suporte forte para liberar a dominante automaticamente."
"imported-real-book/d-003-Daahood.musicxml","Daahood","23","Ab7(b9)","Db","Gb","target-plagal-region","Gb7(#11) / D7(b13,b9) / F7/Eb","Eb","1","0","0","melody-supports-dominant","A melodia sustenta a sonoridade da dominante alterada, mesmo sem alvo local claro."
"imported-real-book/d-003-Daahood.musicxml","Daahood","24","D7(b13,b9)","G","F","target-lower-whole-neighbor","F7/Eb","Eb","1","1","0","melody-ambiguous","A melodia cabe tanto na dominante quanto na chegada lateral; exige escuta local."
"imported-real-book/d-023-Dolphin dance.musicxml","Dolphin dance","3","C7(#9)/Eb","F","G","target-upper-whole-neighbor","G7alt / D/E / C/E / D/E","G Ab Bb F","0.5","0.5","0.25","melody-weak-evidence","A melodia nao oferece suporte forte para liberar a dominante automaticamente."
