"file","title","measure","beat","referenceCenter","referenceIdiom","chord","level","expectedTarget","nextChords","reviewClass","notes"
"Airegin.musicxml","Untitled score","30","1","Bb minor","minor-functional","E7(b9)","altered","A","Ab / Ab6 / Gm7(b5) / C7","unresolved-review","Sem alvo funcional claro na janela; candidato a penalidade real ou revisao manual da cifra."
"imported-real-book/a-014-Ain't misbehavin.musicxml","Ain't misbehavin","30","1","Bb minor","minor-functional","E7(b9)","altered","A","Ab / Ab6 / Gm7(b5) / C7","unresolved-review","Sem alvo funcional claro na janela; candidato a penalidade real ou revisao manual da cifra."
"imported-real-book/a-027-All of you.musicxml","All of you","16","1","A minor","minor-functional","E7(#9)","altered","A","Ab / Ab / Ab(#5) / Ab6","unresolved-review","Sem alvo funcional claro na janela; candidato a penalidade real ou revisao manual da cifra."
"imported-real-book/b-033-Blue Monk.musicxml","Blue Monk","31","1","Eb major","blues","B7(#9)","altered","E","Eb6 / A7(b5) / Abm7 / Fm7","unresolved-review","Sem alvo funcional claro na janela; candidato a penalidade real ou revisao manual da cifra."
"imported-real-book/c-002-Cantaloupe island.musicxml","Cantaloupe island","31","1","F minor","minor-functional","G7alt","high-altered","C","Fm6(9)","unresolved-review","Sem alvo funcional claro na janela; candidato a penalidade real ou revisao manual da cifra."
"imported-real-book/d-003-Daahood.musicxml","Daahood","23","1","F minor","minor-functional","Ab7(b9)","altered","Db","Gb7(#11) / D7(b13,b9) / F7/Eb","unresolved-review","Sem alvo funcional claro na janela; candidato a penalidade real ou revisao manual da cifra."
"imported-real-book/d-003-Daahood.musicxml","Daahood","24","1","F minor","minor-functional","D7(b13,b9)","high-altered","G","F7/Eb","unresolved-review","Sem alvo funcional claro na janela; candidato a penalidade real ou revisao manual da cifra."
"imported-real-book/d-023-Dolphin dance.musicxml","Dolphin dance","3","1","Ab major","major-functional","C7(#9)/Eb","altered","F","G7alt / D/E / C/E / D/E","unresolved-review","Sem alvo funcional claro na janela; candidato a penalidade real ou revisao manual da cifra."
