"file","measure","chord","expectedTarget","sideArrivalRoot","sideArrivalRelation","melodyClass","windowStatus","proposalCount","matchingProposalCount","matchingExamples","diagnosis"
"Airegin.musicxml","30","E7(b9)","A","Ab","target-lower-chromatic-neighbor","melody-supports-dominant","outside-window","4","0","","O caso da referencia nao cai na janela harmonizavel escolhida."
"imported-real-book/a-014-Ain't misbehavin.musicxml","30","E7(b9)","A","Ab","target-lower-chromatic-neighbor","melody-supports-dominant","outside-window","8","0","","O caso da referencia nao cai na janela harmonizavel escolhida."
"imported-real-book/a-027-All of you.musicxml","16","E7(#9)","A","Ab","target-lower-chromatic-neighbor","melody-supports-side-arrival","outside-window","5","0","","O caso da referencia nao cai na janela harmonizavel escolhida."
"imported-real-book/b-033-Blue Monk.musicxml","31","B7(#9)","E","Eb","target-lower-chromatic-neighbor","melody-supports-side-arrival","outside-window","7","0","","O caso da referencia nao cai na janela harmonizavel escolhida."
"imported-real-book/c-002-Cantaloupe island.musicxml","31","G7alt","C","F","target-plagal-region","melody-weak-evidence","outside-window","6","0","","O caso da referencia nao cai na janela harmonizavel escolhida."
"imported-real-book/d-003-Daahood.musicxml","23","Ab7(b9)","Db","Gb","target-plagal-region","melody-supports-dominant","outside-window","3","0","","O caso da referencia nao cai na janela harmonizavel escolhida."
"imported-real-book/d-003-Daahood.musicxml","24","D7(b13,b9)","G","F","target-lower-whole-neighbor","melody-ambiguous","outside-window","3","0","","O caso da referencia nao cai na janela harmonizavel escolhida."
"imported-real-book/d-023-Dolphin dance.musicxml","3","C7(#9)/Eb","F","G","target-upper-whole-neighbor","melody-weak-evidence","covered-by-window","6","1","Estratégia — Gramática funcional ii-V: 4:Gm7 | 8:C7 | 9:Fmaj7","O gerador ja produziu candidato com a chegada lateral."
