"file","title","sequence","occurrences","locations","names"
"Air mail special.musicxml","Untitled score","Ab,Db,Ab/C,Ab,Ab7,Db,Gm7b5,Bb7/Ab,Eb7/G,Ab","2","Compassos 3-10; Compassos 4-11","Estratégia — Dominantes secundárias"
"imported-real-book/a-015-Airegin.musicxml","Airegin","Ab,Db,Ab/C,Ab,Ab7,Db,Gm7b5,Bb7/Ab,Eb7/G,Ab","2","Compassos 3-10; Compassos 4-11","Estratégia — Dominantes secundárias"
"imported-real-book/a-019-Alfie.musicxml","Alfie","Ebm7,Ebm7,Ebm7,F7,Ebm7,Ebm7,Ebm7,Bbm","2","Compassos 2-9; Compassos 18-25","Estratégia — Centro de referência"
"imported-real-book/c-022-Come rain or come shine.musicxml","Come rain or come shine","Gm7,Gm7/C,Gm7/D,Gm7","2","Compassos 7-14; Compassos 8-15","Estratégia — Tonal Clássico"
"imported-real-book/e-006-Easy to love.musicxml","Easy to love","Bb7,Eb,Bb7/D,Eb,Bb7/D,Cm7,Eb,Eb","2","Compassos 1-8; Compassos 18-25","Estratégia — Centro de referência"
"imported-real-book/f-010-Feels so good.musicxml","Feels so good","Eb,Eb,Eb,Eb,Eb,Eb,Eb,Eb","2","Compassos 4-11; Compassos 5-12","Estratégia — Centro de referência"
