"file","title","center","firstOrigin","firstName","firstChords","secondOrigin","secondName","secondChords","comparableSlots","functionAgreement","rootAgreement","bassAgreement","sonorityAgreement"
"exemplo.musicxml","Untitled score","C","main","Estratégia — Dominantes alteradas","C / Am | C7(b9)/Bb / F/A / F/C | Bm7b5 / D7(b13)/C / G7/B | C","main","Estratégia — Dominantes secundárias","C / Am | C7/Bb / F/A / F/C | Bm7b5 / D7/C / G7/B | C","9","1","1","1","0.96"
"imported-real-book/d-018-Dexterity.musicxml","Dexterity","G","main","Estratégia — Dominantes alteradas","G | C | G/B | G | G | G | F#m7b5 / A7(b13)/G / D7/F# | G","main","Estratégia — Dominantes secundárias","G | C | G/B | G | G | G | F#m7b5 / A7/G / D7/F# | G","10","1","1","1","0.98"
"imported-real-book/d-026-Don't blame me.musicxml","Don't blame me","C","main","Estratégia — Dominantes alteradas","C | F | C/E | C | C | Bm7b5 / D7(b13)/C / G7/B | C","main","Estratégia — Dominantes secundárias","C | F | C/E | C | C | Bm7b5 / D7/C / G7/B | C","9","1","1","1","0.98"
"imported-real-book/e-007-Eclypso.musicxml","Eclypso","F","main","Estratégia — Dominantes alteradas","F / Dm | D7(b13) / Gm / Gm | Em7b5 / G7(b13)/F / C7/E | F","main","Estratégia — Dominantes secundárias","F / Dm | D7 / Gm / Gm | Em7b5 / G7/F / C7/E | F","9","1","1","1","0.96"
