file,source,proposal,measure,chord,primarySource,primaryFunction,primaryFit,primaryMaterials,availableMaterials,cells,status
"Actual proof.musicxml","reference","","1","Cm7","C dorian","modal","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","C-Eb-G-Bb | C-Eb-G-A | D-Eb-C","primary-material"
"Actual proof.musicxml","reference","","3","Cm7","C dorian","color","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","C-Eb-G-Bb | C-Eb-G-A | D-Eb-C","primary-material"
"Actual proof.musicxml","reference","","7","Gb/Bb","Gb major","color","neutral","","maj7 lídio / tríade do II | maj / tríades superiores","Gb-Bb-Db-F | Ab-C-Eb | C->Db | Db-F-Ab","available-nonprimary"
"Actual proof.musicxml","reference","","8","A7alt","A altered","modal","caution","Células da escala alterada","Células da escala alterada | Arpejos diminutos H/W | side slip pentatônico | eixo diminuto / ii menores","Bb-C-C# | D#-F-G","primary-material"
"Actual proof.musicxml","reference","","8","A13","A mixolydian","modal","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | eixo diminuto / ii menores | 7 / tríades superiores naturais","A-C#-E-G | E-G-B-D | E-G-A-B-D | G-B-D-F#","primary-material"
"Actual proof.musicxml","reference","","9","Asus4(7,9,11,13)","A mixolydian","color","aligned","dominante sus / pentatônica","dominante sus / pentatônica | side slip pentatônico | eixo diminuto / ii menores | sus quartal / pentatônico","A-D-E-G | B-D-E-A","primary-material"
"Actual proof.musicxml","reference","","11","Ebm7(b5)","Eb locrian #2","tonic","caution","iiø lócrio #2","iiø lócrio #2 | ø7 / estruturas superiores","Eb-Gb-A-Db | F-Gb-Eb | Db->D# | Gb->G","primary-material"
"Actual proof.musicxml","reference","","12","Bsus4(7)","B mixolydian","color","neutral","dominante sus / pentatônica","dominante sus / pentatônica | eixo diminuto / ii menores | side slip pentatônico | sus quartal / pentatônico","B-E-F#-A | C#-E-F#-B","primary-material"
"Actual proof.musicxml","reference","","12","C#sus4(7)/Bb","C# mixolydian","color","neutral","dominante sus / pentatônica","dominante sus / pentatônica | eixo diminuto / ii menores | side slip pentatônico | sus quartal / pentatônico","C#-F#-G#-B | D#-F#-G#-C#","primary-material"
"Actual proof.musicxml","reference","","12","Dm7","D dorian","color","neutral","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","D-F-A-C | D-F-A-B | E-F-D","primary-material"
"Actual proof.musicxml","reference","","12","Em7","E dorian","color","neutral","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","E-G-B-D | E-G-B-C# | F#-G-E","primary-material"
"Actual proof.musicxml","reference","","13","A9","A mixolydian","dominant","neutral","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | eixo diminuto / ii menores | 7 / tríades superiores naturais","A-C#-E-G | C#->Eb | E-G-B-D | E-G-A-B-D | G-B-D-F#","primary-material"
"Actual proof.musicxml","reference","","14","Eb(#11)/D","Eb lydian","tonic","aligned","maj7 lídio / tríade do II","maj7 lídio / tríade do II | maj / tríades superiores","Eb-G-Bb-D | F-A-C | A->Bb","primary-material"
"Actual proof.musicxml","reference","","16","F7","F mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","F-A-C-Eb | A->C | C-Eb-G-Bb | C-Eb-F-G-Bb | Eb-G-Bb-D","primary-material"
"Actual proof.musicxml","reference","","18","Cm7","C dorian","color","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","C-Eb-G-Bb | C-Eb-G-A | D-Eb-C","primary-material"
"Actual proof.musicxml","reference","","20","Bsus4(7,9)","B mixolydian","color","neutral","dominante sus / pentatônica","dominante sus / pentatônica | eixo diminuto / ii menores | side slip pentatônico | sus quartal / pentatônico","B-E-F#-A | C#-E-F#-B","primary-material"
"Actual proof.musicxml","reference","","20","A9","A bebop dominant","color","aligned","dominante bebop / notas-guia","dominante bebop / notas-guia | eixo diminuto / ii menores | dominante natural / notas-guia | ii menor sobre dominante | side slip pentatônico | 7 / tríades superiores naturais","A-C#-E-G | G-G#-A | C#->F | G->A","primary-material"
"Actual proof.musicxml","reference","","20","F/E","F major","predominant","aligned","","maj7 lídio / tríade do II | maj / tríades superiores","F-A-C-E | G-B-D | B->C | C-E-G","available-nonprimary"
"Actual proof.musicxml","reference","","20","G/D","G major","color","aligned","","maj7 lídio / tríade do II | maj / tríades superiores","G-B-D-F# | A-C#-E | C#->D | D-F#-A","available-nonprimary"
"Actual proof.musicxml","reference","","22","Eb(#11)/D","Eb lydian","tonic","neutral","maj7 lídio / tríade do II","maj7 lídio / tríade do II | maj / tríades superiores","Eb-G-Bb-D | F-A-C | A->Bb","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","7","Gb/Bb","Gb major","color","neutral","","maj7 lídio / tríade do II | maj / tríades superiores","Gb-Bb-Db-F | Ab-C-Eb | C->Db | Db-F-Ab","available-nonprimary"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","9","A13sus4","A mixolydian","color","caution","dominante sus / pentatônica","dominante sus / pentatônica | side slip pentatônico | eixo diminuto / ii menores | sus quartal / pentatônico","A-D-E-G | B-D-E-A","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","11","Ebm7b5","Eb locrian #2","color","aligned","iiø lócrio #2","iiø lócrio #2 | ø7 / estruturas superiores","Eb-Gb-A-Db | F-Gb-Eb | Db->D# | Gb->G","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","12","B7sus4","B mixolydian","color","aligned","dominante sus / pentatônica","dominante sus / pentatônica | eixo diminuto / ii menores | side slip pentatônico | sus quartal / pentatônico","B-E-F#-A | C#-E-F#-B","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","12","C#7sus4/Bb","C# eixo diminuto dominante","color","aligned","eixo diminuto / ii menores","eixo diminuto / ii menores | dominante sus / pentatônica | side slip pentatônico | sus quartal / pentatônico","G#-B-D#-F# | B-D-F#-A | D-F-A-C | F-Ab-C-Eb","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","12","Dm7","D dorian","color","caution","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","D-F-A-C | D-F-A-B | E-F-D","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","12","Em7","E dorian","tonic","caution","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","E-G-B-D | E-G-B-C# | F#-G-E","primary-material"
"Ain't it the truth.musicxml","reference","","1","Db","Db lydian","tonic","aligned","maj7 lídio / tríade do II","maj7 lídio / tríade do II | maj / tríades superiores","Db-F-Ab-C | Eb-G-Bb | G->Ab","primary-material"
"Ain't it the truth.musicxml","reference","","4","Ebm7","Eb dorian","predominant","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","Eb-Gb-Bb-Db | Eb-Gb-Bb-C | F-Gb-Eb","primary-material"
"Ain't it the truth.musicxml","reference","","4","Ab7","Ab mixolydian","color","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Ab-C-Eb-Gb | C->E | Gb->G# | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","4","E7","E mixolydian","color","neutral","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | SubV lídio dominante | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","E-G#-B-D | G#->Eb | D->G | B-D-F#-A | B-D-E-F#-A | D-F#-A-C#","primary-material"
"Ain't it the truth.musicxml","reference","","5","Eb7","Eb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Eb-G-Bb-Db | G->Ab | Db->C | Bb-Db-F-Ab | Bb-Db-Eb-F-Ab | Db-F-Ab-C","primary-material"
"Ain't it the truth.musicxml","reference","","6","Ab7","Ab mixolydian","dominant","neutral","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Ab-C-Eb-Gb | C->Db | Gb->F | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","7","Db7","Db mixolydian","tonic","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Db-F-Ab-B | F->Gb | B->Bb | Ab-B-Eb-Gb | Ab-B-Db-Eb-Gb | B-Eb-Gb-Bb","primary-material"
"Ain't it the truth.musicxml","reference","","8","Gb7","Gb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Gb-Bb-Db-E | Bb->Eb | E->G | Db-E-Ab-B | Db-E-Gb-Ab-B | E-Ab-B-Eb","primary-material"
"Ain't it the truth.musicxml","reference","","9","Eb7","Eb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Eb-G-Bb-Db | Bb-Db-F-Ab | Bb-Db-Eb-F-Ab | Db-F-Ab-C","primary-material"
"Ain't it the truth.musicxml","reference","","11","Ebm7","Eb dorian","predominant","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","Eb-Gb-Bb-Db | Eb-Gb-Bb-C | F-Gb-Eb","primary-material"
"Ain't it the truth.musicxml","reference","","11","Ab7","Ab mixolydian","dominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Ab-C-Eb-Gb | C->Db | Gb->F | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","12","Db","Db major","tonic","caution","","maj7 lídio / tríade do II | maj / tríades superiores","Db-F-Ab-C | Eb-G-Bb | G->Ab | Ab-C-Eb","available-nonprimary"
"Ain't it the truth.musicxml","reference","","13","Eb7","Eb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Eb-G-Bb-Db | G->Ab | Db->C | Bb-Db-F-Ab | Bb-Db-Eb-F-Ab | Db-F-Ab-C","primary-material"
"Ain't it the truth.musicxml","reference","","14","Ab7","Ab mixolydian","dominant","neutral","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Ab-C-Eb-Gb | C->Db | Gb->F | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","15","Db7","Db mixolydian","tonic","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Db-F-Ab-B | F->Gb | B->Bb | Ab-B-Eb-Gb | Ab-B-Db-Eb-Gb | B-Eb-Gb-Bb","primary-material"
"Ain't it the truth.musicxml","reference","","16","Gb7","Gb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Gb-Bb-Db-E | Bb->Eb | E->G | Db-E-Ab-B | Db-E-Gb-Ab-B | E-Ab-B-Eb","primary-material"
"Ain't it the truth.musicxml","reference","","17","Eb7","Eb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Eb-G-Bb-Db | Bb-Db-F-Ab | Bb-Db-Eb-F-Ab | Db-F-Ab-C","primary-material"
"Ain't it the truth.musicxml","reference","","19","Ebm7","Eb dorian","predominant","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","Eb-Gb-Bb-Db | Eb-Gb-Bb-C | F-Gb-Eb","primary-material"
"Ain't it the truth.musicxml","reference","","19","Ab7","Ab mixolydian","dominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Ab-C-Eb-Gb | C->Db | Gb->F | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","20","Db","Db major","tonic","aligned","","maj7 lídio / tríade do II | maj / tríades superiores","Db-F-Ab-C | Eb-G-Bb | G->Ab | Ab-C-Eb","available-nonprimary"
"Ain't it the truth.musicxml","reference","","21","Db7","Db mixolydian","tonic","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | 7 / tríades superiores naturais | side slip pentatônico","Db-F-Ab-B | F->Gb | B->Bb | Ab-B-Eb-Gb | Ab-B-Db-Eb-Gb | B-Eb-Gb-Bb","primary-material"
"Ain't it the truth.musicxml","reference","","23","Gb6","Gb major","predominant","aligned","","maj7 lídio / tríade do II | maj / tríades superiores","Gb-Bb-Db-F | Ab-C-Eb | C->Db | Db-F-Ab","available-nonprimary"
"Ain't it the truth.musicxml","reference","","25","Eb7","Eb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Eb-G-Bb-Db | Bb-Db-F-Ab | Bb-Db-Eb-F-Ab | Db-F-Ab-C","primary-material"
"Ain't it the truth.musicxml","reference","","27","Ebm7","Eb dorian","predominant","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","Eb-Gb-Bb-Db | Eb-Gb-Bb-C | F-Gb-Eb","primary-material"
"Ain't it the truth.musicxml","reference","","28","Ab7","Ab mixolydian","modal","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Ab-C-Eb-Gb | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","29","Ab7","Ab mixolydian","modal","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Ab-C-Eb-Gb | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","30","Ab7","Ab mixolydian","dominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Ab-C-Eb-Gb | C->Db | Gb->F | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","31","Db7","Db mixolydian","tonic","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Db-F-Ab-B | F->Gb | B->Bb | Ab-B-Eb-Gb | Ab-B-Db-Eb-Gb | B-Eb-Gb-Bb","primary-material"
"Ain't it the truth.musicxml","reference","","32","Gb7","Gb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Gb-Bb-Db-E | Bb->Eb | E->G | Db-E-Ab-B | Db-E-Gb-Ab-B | E-Ab-B-Eb","primary-material"
"Ain't it the truth.musicxml","reference","","33","Eb7","Eb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Eb-G-Bb-Db | G->Ab | Db->C | Bb-Db-F-Ab | Bb-Db-Eb-F-Ab | Db-F-Ab-C","primary-material"
"Ain't it the truth.musicxml","reference","","35","Ab7","Ab mixolydian","dominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Ab-C-Eb-Gb | C->Db | Gb->F | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","36","Db7","Db mixolydian","tonic","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Db-F-Ab-B | F->Gb | B->Bb | Ab-B-Eb-Gb | Ab-B-Db-Eb-Gb | B-Eb-Gb-Bb","primary-material"
"Ain't it the truth.musicxml","reference","","36","Gb6","Gb major","predominant","neutral","","maj7 lídio / tríade do II | maj / tríades superiores","Gb-Bb-Db-F | Ab-C-Eb | C->Db | Db-F-Ab","available-nonprimary"
"Ain't it the truth.musicxml","reference","","37","Eb7","Eb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Eb-G-Bb-Db | G->Ab | Db->C | Bb-Db-F-Ab | Bb-Db-Eb-F-Ab | Db-F-Ab-C","primary-material"
"Ain't it the truth.musicxml","reference","","37","Ab7","Ab mixolydian","dominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Ab-C-Eb-Gb | C->Db | Gb->F | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","38","Db","Db major","tonic","neutral","","maj7 lídio / tríade do II | maj / tríades superiores","Db-F-Ab-C | Eb-G-Bb | G->Ab | Ab-C-Eb","available-nonprimary"
"Ain't it the truth.musicxml","generated-primary","Rearmonização — contorno da partitura","1","Db6","Db major","tonic","aligned","","maj7 lídio / tríade do II | maj / tríades superiores","Db-F-Ab-C | Eb-G-Bb | G->Ab | Ab-C-Eb","available-nonprimary"
"Ain't it the truth.musicxml","generated-primary","Rearmonização — contorno da partitura","4","Ebm","Eb dorian","predominant","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","Eb-Gb-Bb-Db | Eb-Gb-Bb-C | F-Gb-Eb","primary-material"
"Ain't it the truth.musicxml","generated-primary","Rearmonização — contorno da partitura","4","Ab9","Ab mixolydian","color","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Ab-C-Eb-Gb | C->E | Gb->G# | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","generated-primary","Rearmonização — contorno da partitura","4","E9","E mixolydian","color","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | SubV lídio dominante | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","E-G#-B-D | G#->Eb | D->G | B-D-F#-A | B-D-E-F#-A | D-F#-A-C#","primary-material"
"Ain't it the truth.musicxml","generated-primary","Rearmonização — contorno da partitura","5","Eb13","Eb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Eb-G-Bb-Db | G->Ab | Db->C | Bb-Db-F-Ab | Bb-Db-Eb-F-Ab | Db-F-Ab-C","primary-material"
"Ain't it the truth.musicxml","generated-primary","Rearmonização — contorno da partitura","6","Ab9","Ab mixolydian","dominant","neutral","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Ab-C-Eb-Gb | C->Db | Gb->F | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","generated-primary","Rearmonização — contorno da partitura","7","Db13","Db mixolydian","tonic","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Db-F-Ab-B | F->Gb | B->Bb | Ab-B-Eb-Gb | Ab-B-Db-Eb-Gb | B-Eb-Gb-Bb","primary-material"
"Ain't it the truth.musicxml","generated-primary","Rearmonização — contorno da partitura","8","Gb13","Gb mixolydian","predominant","neutral","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Gb-Bb-Db-E | Db-E-Ab-B | Db-E-Gb-Ab-B | E-Ab-B-Eb","primary-material"
"Ain't misbehavin.musicxml","reference","","1","Eb6","Eb major","tonic","neutral","","maj7 lídio / tríade do II | maj / tríades superiores","Eb-G-Bb-D | F-A-C | A->Bb | Bb-D-F","available-nonprimary"
"Ain't misbehavin.musicxml","reference","","1","E°","E half-whole diminished","color","caution","Arpejos diminutos H/W","Arpejos diminutos H/W","E-G-G#-B | G-Bb-B-D | Bb-Db-D-F | C#-E-F-G#","primary-material"
"Ain't misbehavin.musicxml","reference","","2","Fm7","F dorian","predominant","neutral","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","F-Ab-C-Eb | F-Ab-C-D | G-Ab-F","primary-material"
"Ain't misbehavin.musicxml","reference","","2","F#°","F# half-whole diminished","color","neutral","Arpejos diminutos H/W","Arpejos diminutos H/W","F#-A-A#-C# | A-C-C#-E | C-Eb-E-G | D#-F#-G-A#","primary-material"
"Ain't misbehavin.musicxml","reference","","3","Eb/G","Eb major","tonic","neutral","","maj7 lídio / tríade do II | maj / tríades superiores","Eb-G-Bb-D | F-A-C | A->Bb | Bb-D-F","available-nonprimary"
"Ain't misbehavin.musicxml","reference","","3","G","G major","color","caution","","maj7 lídio / tríade do II | maj / tríades superiores","G-B-D-F# | A-C#-E | C#->D | D-F#-A","available-nonprimary"
"Ain't misbehavin.musicxml","reference","","4","Ab6","Ab major","predominant","aligned","","maj7 lídio / tríade do II | maj / tríades superiores","Ab-C-Eb-G | Bb-D-F | D->Eb | Eb-G-Bb","available-nonprimary"
"Ain't misbehavin.musicxml","reference","","4","Abm6","Ab dorian","predominant","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","Ab-B-Eb-Gb | Ab-B-Eb-F | Bb-B-Ab","primary-material"
"Ain't misbehavin.musicxml","reference","","5","Eb6/G","Eb major","tonic","neutral","","maj7 lídio / tríade do II | maj / tríades superiores","Eb-G-Bb-D | F-A-C | A->Bb | Bb-D-F","available-nonprimary"
"Ain't misbehavin.musicxml","reference","","5","C7(b9)","C phrygian dominant","color","aligned","","Células da escala alterada | Arpejos diminutos H/W | eixo diminuto / ii menores | side slip pentatônico","Db-D#-E | F#-Ab-Bb | E->F | Bb->Ab | C-Eb-E-G | Eb-Gb-G-Bb | Gb-Bbb-Bb-Db | A-C-Db-E | G-Bb-D-F | Bb-Db-F-Ab | Db-E-Ab-B | E-G-B-D | G-Bb-C-D-F | F#-A-B-C#-E | Ab-B-Db-Eb-Gb","available-nonprimary"
"Ain't misbehavin.musicxml","reference","","6","Fm7","F dorian","predominant","neutral","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","F-Ab-C-Eb | F-Ab-C-D | G-Ab-F","primary-material"
"Ain't misbehavin.musicxml","reference","","6","Bb9","Bb mixolydian","color","neutral","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Bb-D-F-Ab | D->G | Ab->B | F-Ab-C-Eb | F-Ab-Bb-C-Eb | Ab-C-Eb-G","primary-material"
"Ain't misbehavin.musicxml","reference","","7","G7","G mixolydian","color","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","G-B-D-F | B->C | F->E | D-F-A-C | D-F-G-A-C | F-A-C-E","primary-material"
"Ain't misbehavin.musicxml","reference","","7","C7","C mixolydian","color","neutral","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","C-E-G-Bb | E->F | Bb->A | G-Bb-D-F | G-Bb-C-D-F | Bb-D-F-A","primary-material"
"Ain't misbehavin.musicxml","reference","","8","F7","F mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | eixo diminuto / ii menores | 7 / tríades superiores naturais","F-A-C-Eb | A->Bb | Eb->D | C-Eb-G-Bb | C-Eb-F-G-Bb | Eb-G-Bb-D","primary-material"
"Ain't misbehavin.musicxml","reference","","8","Bb7","Bb mixolydian","dominant","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Bb-D-F-Ab | D->Eb | Ab->G | F-Ab-C-Eb | F-Ab-Bb-C-Eb | Ab-C-Eb-G","primary-material"
