"file","sourceId","title","status","measures","noteCount","harmonyCount","sectionCount","keySignature","windowMeasures","proposalCount","referenceOverlapCount","selectedCenter","selectedCenterSource","primaryProposalName","primaryChords","parseError"
"d-005-Dancing on the ceiling.musicxml","d","Dancing on the ceiling","harmonized","26","98","58","0","","1 2 3 4 5 6 7 8","3","8","A minor","reference","Estratégia — Centro de referência","G7 | Fmaj7 | G7 | E7/G# | G7 | Am6 | E7/G# | Am",""
"d-006-Darn that dream.musicxml","d","Darn that dream","harmonized","18","135","37","0","Eb","1 2 3 4 5 6 7 8","9","7","C minor","reference","Estratégia — Centro de referência","Cm | Fm7 | Cm6/Eb | Cm | Cm | Fm7 | Fm7 | Cm7",""
"d-008-Day of wine and roses.musicxml","d","Day of wine and roses","harmonized","26","125","36","0","C","2 3 4 5 6 7 8 9","1","4","F major","reference","Estratégia — Centro de referência","F | F | C7/E | C7 | C7 | C7 | C7 | F",""
"d-009-Dear John.musicxml","d","Dear John","harmonized","35","277","33","5","F","1 2 3 4 5 6 7 8","14","4","F major","reference","Estratégia — Tonal Clássico","Fmaj7 / Bbmaj7 | F6/C / Fmaj7",""
"d-010-Dear old Stockholm.musicxml","d","Dear old Stockholm","harmonized","24","53","27","0","C","1 2 3 4 5 6 7 8","8","8","D minor","reference","Estratégia — Tonal Clássico","Gmaj7/D / Gmaj7 | A7 / D6",""
"d-011-Dearly beloved.musicxml","d","Dearly beloved","harmonized","26","58","30","0","C","1 2 3 4 5 6 7 8","5","8","C major","reference","Estratégia — Contraponto de Baixo","C6 | G7/F | Em7/D | G7 | Cmaj7",""
"d-012-Deed i do.musicxml","d","Deed i do","harmonized","35","96","43","0","F","1 2 3 4 5 6 7 8","6","7","F major","reference","Estratégia — Cromático Linear","Fmaj7 / Adim7/Gb / G#dim7/Gb | G#dim7/G",""
"d-013-Deep purple.musicxml","d","Deep purple","harmonized","23","76","24","4","C","7 8 9 10 11 12 13 14","8","4","Eb minor","reference","Estratégia — Dominantes secundárias","Eb | Ab | Ab | Eb/G | Eb7 | Ab | Dm7b5 / F7/Eb / Bb7/D | Eb",""
"d-014-Deluge.musicxml","d","Deluge","harmonized","32","135","29","2","","1 2 3 4 5 6 7 8","5","6","Eb major","melody","Estratégia — Cromático Linear","Eb6 / C#dim7/E | Dm7b5/E / F7",""
"d-015-Desafinado.musicxml","d","Desafinado","harmonized","55","237","78","4","","1 2 3 4 5 6 7 8","6","3","G minor","melody","Estratégia — Gramática funcional ii-V","Cm7 | F7 | Bbmaj7",""
"d-017-Detour ahead.musicxml","d","Detour ahead","harmonized","26","166","40","0","Bb","1 2 3 4 5 6 7 8","10","8","Bb major","reference","Estratégia — Cromático Linear","Bbmaj7 / Ddim7/B / Ddim7/B | Am7b5/C",""
"d-018-Dexterity.musicxml","d","Dexterity","harmonized","32","121","36","0","G","1 2 3 4 5 6 7 8","7","6","G major","reference","Estratégia — Cromático Linear","Gmaj7 / Bdim7/Ab | Bdim7/Ab / A7",""
"d-019-Dinah.musicxml","d","Dinah","harmonized","33","127","40","4","Eb","1 2 3 4 5 6 7 8","4","8","Eb major","reference","Estratégia — Cromático Linear","Ebmaj7 / Edim7 / Edim7/F | Edim7/Bb",""
"d-020-Dindi.musicxml","d","Dindi","harmonized","26","114","52","2","Bb","1 2 3 4 5 6 7 8","3","8","Bb major","reference","Estratégia — Centro de referência","F7 | Bb | F7/A | Bb | F7/A | Bb | Gm7 | Bb",""
"d-021-Do nothing'til you hear from me.musicxml","d","Do nothing'til you hear from me","harmonized","27","140","53","0","C","1 2 3 4 5 6 7 8","9","7","C major","reference","Estratégia — Centro de referência","Dm7 | Em | Am7 | Am7 | C | Dm7 | Dm7 | C",""
"d-022-Do you know what it means to miss New Orleans -.musicxml","d","Do you know what it means to miss New Orleans ?","harmonized","34","91","37","3","C","1 2 3 4 5 6 7 8","4","8","C minor","reference","Estratégia — Centro de referência","Bb7 | Fm7/Ab | Bb7 | Fm7/Ab | Fm7 | Bb7 | G7/B | Cm",""
"d-023-Dolphin dance.musicxml","d","Dolphin dance","harmonized","39","220","40","2","Ab","1 2 3 4 8 9 10 11","6","7","D minor","melody","Estratégia — Gramática funcional ii-V","Gm7 | C7 | Fmaj7",""
"d-025-Donna Lee.musicxml","d","Donna Lee","harmonized","26","73","44","0","C","1 2 3 4 5 6 7 8","12","8","C major","reference","Estratégia — Tonal Clássico","Cmaj7 / Fmaj7 | G7 / C6",""
