"file","title","referenceChordCount","referenceMeasureCount","referenceDensity","referenceDenseMeasures","generatedIdeaCount","generatedDenseIdeaCount","maximumGeneratedDensity","status"
"imported-real-book/b-052-Bud's blues.musicxml","Bud's blues","40","23","1.74","14","1","0","1","lacuna-de-densidade"
"imported-real-book/b-053-But beautyful.musicxml","But beautyful","9","8","1.13","1","8","2","1.25","referencia-densa-coberta"
"imported-real-book/b-054-Buzzy.musicxml","Buzzy","49","31","1.58","14","3","0","1","lacuna-de-densidade"
"imported-real-book/c-002-Cantaloupe island.musicxml","Cantaloupe island","20","16","1.25","3","6","2","1.25","referencia-densa-coberta"
"imported-real-book/c-003-Caravan.musicxml","Caravan","23","16","1.44","7","4","0","1","lacuna-de-densidade"
"imported-real-book/c-004-Careless love.musicxml","Careless love","6","6","1","0","2","0","1","referencia-contida"
"imported-real-book/c-005-Cariba.musicxml","Cariba","21","21","1","0","4","0","1","referencia-contida"
"imported-real-book/c-006-Casa forte.musicxml","Casa forte","30","22","1.36","8","8","1","1.36","referencia-densa-coberta"
"imported-real-book/c-008-Cedar's blues.musicxml","Cedar's blues","33","26","1.27","7","1","0","1","lacuna-de-densidade"
"imported-real-book/c-009-Celia.musicxml","Celia","76","33","2.3","22","2","1","2.3","referencia-densa-coberta"
"imported-real-book/c-010-Central park west.musicxml","Central park west","33","25","1.32","8","7","1","1.32","referencia-densa-coberta"
"imported-real-book/c-012-A certain smile.musicxml","A certain smile","9","9","1","0","1","0","1","referencia-contida"
"imported-real-book/c-013-Chameleon.musicxml","Chameleon","73","49","1.49","24","8","0","1","lacuna-de-densidade"
"imported-real-book/c-015-Chega de saudade.musicxml","Chega de saudade","69","64","1.08","5","1","0","1","lacuna-de-densidade"
"imported-real-book/c-017-Cherokee.musicxml","Cherokee","15","11","1.36","4","7","1","1.2","referencia-densa-coberta"
"imported-real-book/c-018-Cheryl.musicxml","Cheryl","26","24","1.08","2","5","1","1.08","referencia-densa-coberta"
"imported-real-book/c-020-Chick's tune.musicxml","Chick's tune","6","6","1","0","4","0","1","referencia-contida"
"imported-real-book/c-021-Chief Crazy Horse.musicxml","Chief Crazy Horse","44","30","1.47","14","6","1","1.47","referencia-densa-coberta"
"imported-real-book/c-022-Come rain or come shine.musicxml","Come rain or come shine","36","24","1.5","9","9","0","1","lacuna-de-densidade"
"imported-real-book/c-024-Comin' home baby.musicxml","Comin' home baby","21","15","1.4","5","2","1","1.4","referencia-densa-coberta"
"imported-real-book/c-025-Con Alma.musicxml","Con Alma","57","33","1.73","23","7","0","1","lacuna-de-densidade"
"imported-real-book/c-026-Confessin' that i love you.musicxml","Confessin' that i love you","48","31","1.55","17","3","2","1.55","referencia-densa-coberta"
"imported-real-book/c-027-Confirmation.musicxml","Confirmation","26","22","1.18","4","5","2","1.3","referencia-densa-coberta"
"imported-real-book/c-028-Coquette.musicxml","Coquette","40","34","1.18","6","8","0","1","lacuna-de-densidade"
"imported-real-book/c-029-Corcovado.musicxml","Corcovado","42","23","1.83","19","6","0","1","lacuna-de-densidade"
"imported-real-book/c-030-Corner pocket.musicxml","Corner pocket","35","21","1.67","13","5","0","1","lacuna-de-densidade"
"imported-real-book/c-031-Cottontail.musicxml","Cottontail","39","20","1.95","18","8","0","1","lacuna-de-densidade"
"imported-real-book/c-032-Count every star.musicxml","Count every star","6","6","1","0","11","5","1.17","referencia-contida"
