"file","title","status","referenceCenter","referenceIdiom","harmonyCount","dominantCount","simple","color","altered","highAltered","resolvedAltered","contextualAltered","unresolvedAltered","resolvedColor","unresolvedColor","subVResolutions","delayedResolutions","prolongedResolutions","deceptiveResolutions","alteredResolutionRatio","unresolvedAlteredRatio","examples","notes"
"imported-real-book/b-021-Black and tan fantasy.musicxml","Black and tan fantasy","ok","Eb minor","minor-functional","52","38","11","7","18","2","9","11","0","7","0","13","6","0","11","0.45","0","Db7(#9) -> D7(#9) (altered) / D7(#9) -> Db7(#9) (altered) / Db7(#9) -> D7(#9) (altered) / D7(#9) -> Db7(#9) (altered) / Db7(#9) -> D7(#9) (altered) / D7(#9) -> Db7(#9) (altered) / Db7(#9) -> G13 (altered) / G13 -> Gb7 (color)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-022-Black coffe.musicxml","Black coffe","ok","Ab minor","minor-functional","27","2","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","Cb9(#11) -> Fm9 (color) / A9(#11) -> Eb(#11) (color)","dominantes coloridas recorrentes"
"imported-real-book/b-024-Black nile.musicxml","Black nile","ok","A minor","minor-functional","49","12","2","0","10","0","9","1","0","0","0","0","1","0","0","0.9","0","E7(b9) -> Am (altered) / E7(b9) -> Am (altered) / E7(b9) -> Am (altered) / E7(b9) -> Am (altered) / E7(b9) -> Am (altered) / E7(b9) -> E° (altered) / A7(b9) -> Dm (altered) / E7(b9) -> Am (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual"
"imported-real-book/b-026-Black Orpheus.musicxml","Black Orpheus","ok","Eb major","blues","66","22","21","1","0","0","0","0","0","1","0","1","0","2","4","0","0","Db9(#11) -> C7 (color)","dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-027-Blame it on my youth.musicxml","Blame it on my youth","ok","G minor","minor-functional","23","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/b-028-Blessed relief.musicxml","Blessed relief","ok","C minor","minor-functional","10","6","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/b-029-Bloomdido.musicxml","Bloomdido","ok","C minor","minor-functional","13","4","1","1","0","2","2","0","0","1","0","0","0","0","0","1","0","G7alt -> Cm6 (high-altered) / Ab13 -> Db (color) / G7alt -> Cm6 (high-altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes"
"imported-real-book/b-030-Blue bossa.musicxml","Blue bossa","ok","D major","blues","22","12","0","12","0","0","0","0","0","10","2","2","0","2","1","0","0","C9 -> Bm7 (color) / E13 -> Bm9 (color) / E13(#11) -> Bm9 (color) / E13(#11) -> Gm9 (color) / C13 -> D (color) / C13(#11) -> Em9 (color) / Asus4(7,9,11,13) -> A13 (color) / A13 -> D6 (color)","dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-031-Blue Daniel.musicxml","Blue Daniel","ok","D minor","minor-functional","16","6","1","0","5","0","5","0","0","0","0","1","0","0","0","1","0","A7(b13) -> Dm7(9) (altered) / F7(b9) -> Bb(#11) (altered) / A7(b13) -> Dm6(9) (altered) / E7(#9) -> Am7(9) (altered) / A7(#9) -> Dm6(9) (altered)","dominantes alteradas com resolução local; resoluções cromáticas tipo SubV"
"imported-real-book/b-032-Blue in green.musicxml","Blue in green","ok","Bb major","blues","13","12","12","0","0","0","0","0","0","0","0","0","1","0","1","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/b-033-Blue Monk.musicxml","Blue Monk","ok","Eb major","blues","87","37","17","9","11","0","8","2","1","9","0","11","4","2","1","0.73","0.09","Db9(#11) -> Cm7 (color) / C7(#9) -> Fm7 (altered) / B9 -> Bbsus4(7,9) (color) / Bbsus4(7,9) -> Bb9(#9) (color) / Bb9(#9) -> Eb6 (altered) / A7(b5) -> Cm7 (altered) / Db9(#11) -> Cm7 (color) / C7(#9) -> Fm7 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes alteradas sem alvo imediato; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-034-Blue moon.musicxml","Blue moon","ok","F major","blues","43","14","14","0","0","0","0","0","0","0","0","0","1","0","1","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/b-035-Blue room.musicxml","Blue room","ok","C minor","minor-functional","22","7","7","0","0","0","0","0","0","0","0","0","0","0","6","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/b-036-Blue trane.musicxml","Blue trane","ok","Eb major","blues","39","14","14","0","0","0","0","0","0","0","0","1","1","0","2","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/b-037-Blueberry hill.musicxml","Blueberry hill","ok","F major","blues","19","9","8","0","1","0","1","0","0","0","0","3","4","0","0","1","0","A7(b9) -> Dm7 (altered)","dominantes alteradas com resolução local; resoluções cromáticas tipo SubV"
"imported-real-book/b-038-Blues for Alice.musicxml","Blues for Alice","ok","G minor","minor-functional","20","8","8","0","0","0","0","0","0","0","0","1","0","0","1","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/b-039-Bluesette.musicxml","Bluesette","ok","Db major","blues","55","19","15","3","1","0","1","0","0","3","0","5","1","0","1","1","0","Gb9 -> Fm7 (color) / F7(b9) -> Bbm7 (altered) / Ab9 -> Db (color) / Gb9 -> Fm7 (color)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-041-Bohemia after dark.musicxml","Bohemia after dark","ok","F major","blues","20","10","2","5","1","2","2","1","0","5","0","4","0","1","1","0.67","0","Bbsus4(7,9,11,13) -> Asus4(7,9,11,13) (color) / Asus4(7,9,11,13) -> A13 (color) / A13 -> D (color) / F#7alt -> Bm7 (high-altered) / C9(#11) -> Bm7 (color) / B13(b9) -> Bb9 (altered) / Bb9 -> A7alt (color) / A7alt -> fim (high-altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-042-Bolivia.musicxml","Bolivia","ok","Bb major","minor-functional","40","11","4","1","0","6","4","2","0","1","0","0","2","0","0","0.67","0","F7alt -> Bb (high-altered) / F7alt -> Cm7 (high-altered) / F7alt -> Bb (high-altered) / Eb7alt -> Bbm7 (high-altered) / Eb7alt -> Ab (high-altered) / C13(#11) -> Gm7 (color) / F7alt -> Bb (high-altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes"
"imported-real-book/b-043-Boplicity.musicxml","Boplicity","ok","C minor","minor-functional","52","30","26","1","3","0","2","1","0","1","0","8","4","0","2","0.67","0","Ab7(#11) -> Dm7 (color) / G7(b9) -> Cm6(9) (altered) / G7(#5) -> C7 (altered) / C7(b9) -> Cm6(9) (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-046-Both sides of the coin.musicxml","Both sides of the coin","ok","Bb major","major-functional","33","14","6","6","2","0","1","1","0","6","0","1","2","1","0","0.5","0","G7(#11) -> Cm7 (color) / F7(#11) -> Bb (color) / A7(b9) -> Dm7 (altered) / G7(#11) -> Cm7 (color) / F7(#11) -> Bb (color) / F#7(#5) -> Bb/F (altered) / C7(#11) -> Gb9 (color) / Gb9 -> F7 (color)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/b-050-Bud Powell.musicxml","Bud Powell","ok","C minor","minor-functional","10","8","7","0","1","0","1","0","0","0","0","0","0","0","2","1","0","G9(#9) -> Cm7 (altered)","dominantes alteradas com resolução local"
"imported-real-book/b-052-Bud's blues.musicxml","Bud's blues","ok","G major","blues","40","18","11","5","2","0","1","1","0","4","1","0","1","2","3","0.5","0","E7(b9) -> Am9 (altered) / F#7(b9) -> G (altered) / A9 -> D13 (color) / D13 -> C° (color) / Dsus4(7,9) -> D7 (color) / A9 -> Am7 (color) / F9 -> G/D (color)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes"
"imported-real-book/b-053-But beautyful.musicxml","But beautyful","ok","Bb major","blues","9","5","4","0","1","0","0","1","0","0","0","0","0","0","1","0","0","F7(#9) -> fim (altered)","dominantes alteradas com resolução contextual"
"imported-real-book/b-054-Buzzy.musicxml","Buzzy","ok","F major","blues","49","24","6","9","9","0","8","1","0","9","0","3","0","5","2","0.89","0","Csus4(7,9) -> C7 (color) / D7(b9) -> Gm7 (altered) / D7(b9) -> Gm7 (altered) / D7(#5) -> Gm7 (altered) / Csus4(7,9,11,13) -> C13(b9) (color) / C13(b9) -> F6 (altered) / Csus4(7,9,11,13) -> C7(b9) (color) / C7(b9) -> Am7(b5) (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/c-002-Cantaloupe island.musicxml","Cantaloupe island","ok","F minor","minor-functional","20","16","8","4","3","1","1","2","1","4","0","4","0","0","2","0.25","0.25","C7(b9) -> Db7 (altered) / C7(b9) -> Db7 (altered) / Bb13 -> Eb9 (color) / Eb9 -> Ab13 (color) / Ab13 -> Db9 (color) / Db9 -> C7(#6,#5) (color) / C7(#6,#5) -> Fm6(9) (altered) / G7alt -> Fm6(9) (high-altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes alteradas sem alvo imediato; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/c-003-Caravan.musicxml","Caravan","ok","F major","blues","23","10","9","0","1","0","1","0","0","0","0","0","0","1","1","1","0","F7(#5)/A -> Bb (altered)","dominantes alteradas com resolução local"
"imported-real-book/c-004-Careless love.musicxml","Careless love","ok","F minor","major-functional","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/c-005-Cariba.musicxml","Cariba","ok","D minor","minor-functional","21","15","5","9","1","0","0","1","0","7","2","5","1","0","5","0","0","Eb9 -> Dm6(9) (color) / Eb9 -> D9 (color) / D9 -> C13sus4 (color) / C13sus4 -> B13sus4 (color) / B13sus4 -> C13sus4 (color) / C13sus4 -> C13 (color) / C13 -> B13sus4 (color) / B13sus4 -> C13sus4 (color)","dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/c-006-Casa forte.musicxml","Casa forte","ok","D minor","minor-functional","30","12","8","0","4","0","4","0","0","0","0","0","0","0","0","1","0","A7(#9) -> Dm7 (altered) / D7(b9) -> Gm7 (altered) / A7(b9) -> Dm7 (altered) / A7(#9) -> Dm7 (altered)","dominantes alteradas com resolução local"
"imported-real-book/c-008-Cedar's blues.musicxml","Cedar's blues","ok","Bb major","major-functional","33","13","12","0","1","0","0","1","0","0","0","5","2","0","0","0","0","F7(b9) -> fim (altered)","dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
"imported-real-book/c-009-Celia.musicxml","Celia","ok","B major","major-functional","76","22","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/c-010-Central park west.musicxml","Central park west","ok","Ab major","major-functional","33","14","0","7","5","2","6","1","0","7","0","1","1","1","4","0.86","0","Eb7(b9) -> Ab (altered) / Ab13 -> D (color) / G13 -> Ab (color) / F7alt -> Bbm9 (high-altered) / Eb9 -> Cm9 (color) / F9 -> Dm9 (color) / G9 -> Cm7 (color) / F7(#5) -> Bbm7 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/c-012-A certain smile.musicxml","A certain smile","ok","B minor","major-functional","9","5","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/c-013-Chameleon.musicxml","Chameleon","ok","C major","minor-functional","73","25","20","4","1","0","0","1","0","4","0","5","1","0","2","0","0","Bb7(#11) -> A7 (color) / Bb7(#11) -> A7 (color) / G7(b9) -> G#° (altered) / Bb7(#11) -> A7 (color) / Bb7(#11) -> A7 (color)","dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/c-015-Chega de saudade.musicxml","Chega de saudade","ok","Bb major","minor-functional","69","31","14","11","6","0","4","2","0","11","0","0","5","1","5","0.67","0","E9 -> Gm6 (color) / B13 -> B7(#5) (color) / B7(#5) -> E9 (altered) / E9 -> A13sus4 (color) / A13sus4 -> F#m7 (color) / B7(#5) -> E9 (altered) / E9 -> A9sus4 (color) / A9sus4 -> D6 (color)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes"
"imported-real-book/c-017-Cherokee.musicxml","Cherokee","ok","C major","minor-functional","15","5","5","0","0","0","0","0","0","0","0","1","2","0","1","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/c-018-Cheryl.musicxml","Cheryl","ok","G minor","minor-functional","26","8","7","0","1","0","1","0","0","0","0","0","0","0","0","1","0","D7(b9) -> Gm (altered)","dominantes alteradas com resolução local"
"imported-real-book/c-020-Chick's tune.musicxml","Chick's tune","ok","F major","major-functional","6","2","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","C13 -> F/Gb (color) / C13 -> fim (color)","dominantes coloridas recorrentes"
"imported-real-book/c-021-Chief Crazy Horse.musicxml","Chief Crazy Horse","ok","D minor","minor-functional","44","18","15","0","3","0","3","0","0","0","0","1","2","0","1","1","0","C7(b9) -> Fm (altered) / D7(b9) -> Gm7 (altered) / A7(b9) -> Dm (altered)","dominantes alteradas com resolução local; resoluções cromáticas tipo SubV"
"imported-real-book/c-022-Come rain or come shine.musicxml","Come rain or come shine","ok","Bb major","blues","36","24","10","9","5","0","4","1","0","9","0","2","1","0","6","0.8","0","Eb9(#11) -> F7 (color) / D7(#5) -> G9 (altered) / G9 -> Cmin9 (color) / F9 -> Bb (color) / C9 -> F7 (color) / Ab13 -> D7(#9) (color) / D7(#9) -> G7(#5) (altered) / G7(#5) -> C9 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/c-024-Comin' home baby.musicxml","Comin' home baby","ok","E major","major-functional","21","10","9","0","1","0","0","1","0","0","0","2","0","0","1","0","0","F7(b9) -> F#m7 (altered)","dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
"imported-real-book/c-025-Con Alma.musicxml","Con Alma","ok","G major","blues","57","32","21","0","11","0","10","1","0","0","0","2","1","4","1","0.91","0","D7(#5) -> G (altered) / D7(#5) -> G (altered) / Daug7 -> Bm7 (altered) / D7(#5) -> G (altered) / D7(#5) -> G (altered) / G7(#5) -> C (altered) / E7(9,#5) -> Eb7(9,#5) (altered) / Eb7(9,#5) -> D7sus4 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
"imported-real-book/c-026-Confessin' that i love you.musicxml","Confessin' that i love you","ok","F major","minor-functional","48","19","15","0","2","2","3","1","0","0","0","2","2","0","0","0.75","0","F9(#5) -> Fm7 (altered) / C7(b9) -> F (altered) / F7alt -> Bb (high-altered) / C7alt -> F (high-altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
"imported-real-book/c-027-Confirmation.musicxml","Confirmation","ok","D major","major-functional","26","9","9","0","0","0","0","0","0","0","0","0","3","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/c-028-Coquette.musicxml","Coquette","ok","F major","minor-functional","40","12","10","0","2","0","1","1","0","0","0","2","3","0","1","0.5","0","A7(b13) -> D7 (altered) / G7(b9) -> Em7 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
"imported-real-book/c-029-Corcovado.musicxml","Corcovado","ok","C minor","minor-functional","42","20","20","0","0","0","0","0","0","0","0","0","6","0","2","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/c-030-Corner pocket.musicxml","Corner pocket","ok","Ab major","blues","35","16","16","0","0","0","0","0","0","0","0","0","0","0","3","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/c-031-Cottontail.musicxml","Cottontail","ok","G major","blues","39","11","7","1","3","0","3","0","0","1","0","1","1","0","1","1","0","D7(#5) -> G6 (altered) / G7(b9) -> C (altered) / F9 -> G6 (color) / D7(b9) -> G6 (altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/c-032-Count every star.musicxml","Count every star","ok","Ab major","blues","6","6","5","1","0","0","0","0","0","1","0","1","1","0","0","0","0","D7(#11) -> Db7 (color)","dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/c-033-Cousin Mary.musicxml","Cousin Mary","ok","Bb major","major-functional","32","12","12","0","0","0","0","0","0","0","0","0","2","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/c-034-Crazeology.musicxml","Crazeology","ok","Eb major","blues","51","22","9","6","7","0","4","3","0","6","0","5","7","1","1","0.57","0","C7(b9) -> Cm7 (altered) / F9 -> B9 (color) / B9 -> Bb7sus4 (color) / D7(#9) -> Gm (altered) / Eb7(#11) -> D7(b9) (color) / D7(b9) -> Gm7 (altered) / Ab7(#9) -> D7(b9) (altered) / D7(b9) -> Gm7 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/c-035-Cry me a river.musicxml","Cry me a river","ok","A minor","minor-functional","46","13","7","0","6","0","4","2","0","0","0","0","0","2","5","0.67","0","E7(b9) -> Am (altered) / E7(#9) -> Dm (altered) / E7(#9) -> F (altered) / B7(b13) -> E7 (altered) / E7(b9) -> Am (altered) / E7(b9) -> Am (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual"
"imported-real-book/c-036-Crystal silence.musicxml","Crystal silence","ok","Bb major","blues","47","37","30","2","3","2","5","0","0","2","0","6","0","1","1","1","0","F7(#5) -> Bb7 (altered) / G7(#5) -> Cm7 (altered) / D7alt -> G9 (high-altered) / G9 -> C7alt (color) / C7alt -> F9(#11) (high-altered) / F9(#11) -> Bb7 (color) / G7(#5) -> Cm7 (altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/d-002-D natural blues.musicxml","D natural blues","ok","Eb major","minor-functional","38","17","17","0","0","0","0","0","0","0","0","3","0","0","0","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/d-003-Daahood.musicxml","Daahood","ok","F minor","minor-functional","38","15","4","4","6","1","3","2","2","3","1","7","1","0","2","0.43","0.29","Ab7(#11) -> Gb7(#11) (color) / Gb7(#11) -> Fm7 (color) / D7(#11,b9) -> Db7 (altered) / C7(b9) -> B7(#11) (altered) / B7(#11) -> Bb7(b9) (color) / Bb7(b9) -> E(b5) (altered) / C7(b13) -> Abm7 (altered) / Bb13(b9) -> A (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes alteradas sem alvo imediato; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/d-004-Dancing in the dark.musicxml","Dancing in the dark","ok","F major","blues","35","12","9","0","3","0","3","0","0","0","0","0","0","0","2","1","0","F7(#5) -> Bb (altered) / D7(b9) -> Gm7 (altered) / F7(#5) -> Bb (altered)","dominantes alteradas com resolução local"
"imported-real-book/d-005-Dancing on the ceiling.musicxml","Dancing on the ceiling","ok","A minor","minor-functional","58","24","23","0","1","0","1","0","0","0","0","3","3","0","3","1","0","C7(b9) -> Fm7 (altered)","dominantes alteradas com resolução local; resoluções cromáticas tipo SubV"
"imported-real-book/d-006-Darn that dream.musicxml","Darn that dream","ok","C minor","minor-functional","37","14","12","0","2","0","2","0","0","0","0","3","5","0","0","1","0","G7(#5) -> Cm (altered) / G7(#5) -> Cm (altered)","dominantes alteradas com resolução local; resoluções cromáticas tipo SubV"
"imported-real-book/d-008-Day of wine and roses.musicxml","Day of wine and roses","ok","Eb major","major-functional","36","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/d-009-Dear John.musicxml","Dear John","ok","D minor","minor-functional","33","10","2","1","7","0","7","0","0","1","0","1","0","0","1","1","0","A7(b9) -> Dm6 (altered) / Bb7(b5) -> A7(b9) (altered) / A7(b9) -> Dm7 (altered) / A7(b9) -> Dm (altered) / A7(b9) -> Dm (altered) / A7(#9) -> Dm (altered) / C9sus4 -> A7(b9) (color) / A7(b9) -> Dm6 (altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/d-010-Dear old Stockholm.musicxml","Dear old Stockholm","ok","C major","major-functional","27","11","10","0","1","0","0","1","0","0","0","1","4","1","0","0","0","D7(b9) -> Dm7 (altered)","dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
"imported-real-book/d-011-Dearly beloved.musicxml","Dearly beloved","ok","C major","blues","30","14","5","9","0","0","0","0","0","9","0","0","0","0","0","0","0","C9 -> F6 (color) / D9 -> G9 (color) / G9 -> C (color) / C9 -> F (color) / D9 -> G9 (color) / G9 -> C (color) / C9 -> F6 (color) / D9 -> G9 (color)","dominantes coloridas recorrentes"
"imported-real-book/d-012-Deed i do.musicxml","Deed i do","ok","F major","blues","43","15","10","3","2","0","2","0","0","2","1","2","0","4","0","1","0","C7(13) -> F (color) / C7(#5) -> F (altered) / C7(13) -> F (color) / C7(#5) -> F (altered) / Bb9 -> F (color)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/d-013-Deep purple.musicxml","Deep purple","ok","Eb minor","minor-functional","24","7","2","4","1","0","0","1","0","2","2","2","2","0","0","0","0","B7(b5) -> Bm7 (altered) / A7(#11) -> Ab7(#11) (color) / Ab7(#11) -> F#m7 (color) / A7(#11) -> Ab7(#11) (color) / Ab7(#11) -> F#m7 (color)","dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/d-014-Deluge.musicxml","Deluge","ok","A major","blues","29","12","4","0","8","0","5","3","0","0","0","1","1","1","2","0.63","0","G7(b5) -> Gm7 (altered) / C7(b9) -> Am7(b5) (altered) / D7(b9) -> Gm7 (altered) / A7(b9) -> D7 (altered) / D7(b9) -> G7(b9) (altered) / G7(b9) -> Gb (altered) / Gb7(b5) -> Gm7 (altered) / E7(#9) -> A (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; resoluções cromáticas tipo SubV"
"imported-real-book/d-015-Desafinado.musicxml","Desafinado","ok","F major","blues","78","37","20","8","4","5","4","5","0","7","1","5","10","1","3","0.44","0","C7(b9) -> F (altered) / G7(b5) -> Gm7 (altered) / C7(b9) -> Am7(b5) (altered) / Eb9 -> G7 (color) / F#13 -> B7alt (color) / B7alt -> F (high-altered) / Bb13 -> C (color) / Ab13 -> Dm7 (color)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/d-017-Detour ahead.musicxml","Detour ahead","ok","Bb major","blues","40","19","15","0","2","2","4","0","0","0","0","1","5","0","2","1","0","F7(b9) -> Bb7 (altered) / F7alt -> Bb (high-altered) / F7(b9) -> Bb7 (altered) / F7alt -> Bb (high-altered)","dominantes alteradas com resolução local; resoluções cromáticas tipo SubV"
"imported-real-book/d-018-Dexterity.musicxml","Dexterity","ok","G major","major-functional","36","11","9","1","1","0","1","0","0","1","0","2","2","0","0","1","0","C9 -> B7(b9) (color) / B7(b9) -> Em7 (altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/d-019-Dinah.musicxml","Dinah","ok","Eb major","minor-functional","40","7","0","2","5","0","5","0","0","2","0","0","0","0","1","1","0","G13 -> Eb (color) / Eb7(b9) -> Ab (altered) / D7(b9) -> Gm (altered) / C7(b9) -> Fm (altered) / Bb7(b9) -> Eb (altered) / Eb7(b9) -> Ab (altered) / Db13 -> fim (color)","dominantes alteradas com resolução local; dominantes coloridas recorrentes"
"imported-real-book/d-020-Dindi.musicxml","Dindi","ok","Gb major","blues","52","24","16","6","2","0","2","0","0","6","0","0","2","1","2","1","0","Ab9(#11) -> Bb (color) / G7(#5) -> C7 (altered) / F13 -> Bb6 (color) / F9sus4 -> F7 (color) / G9 -> C7 (color) / Ab9(#11) -> Bb (color) / G7(#5) -> C7 (altered) / F13 -> Bb6 (color)","dominantes alteradas com resolução local; dominantes coloridas recorrentes"
"imported-real-book/d-021-Do nothing'til you hear from me.musicxml","Do nothing'til you hear from me","ok","C major","major-functional","53","20","17","0","3","0","3","0","0","0","0","2","2","1","0","1","0","G7(#5) -> C (altered) / G7(#5) -> C (altered) / G7(#5) -> C (altered)","dominantes alteradas com resolução local; resoluções cromáticas tipo SubV"
"imported-real-book/d-022-Do you know what it means to miss New Orleans -.musicxml","Do you know what it means to miss New Orleans ?","ok","G major","blues","37","13","3","8","2","0","0","2","0","6","2","4","4","0","3","0","0","Ab9(#11) -> Cm7 (color) / D13 -> G (color) / G13sus4 -> A/G (color) / F13sus4 -> F13(b9) (color) / F13(b9) -> F13sus4 (altered) / F13sus4 -> Em9 (color) / A13 -> Eb9(#11) (color) / Eb9(#11) -> Am7 (color)","dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/d-023-Dolphin dance.musicxml","Dolphin dance","ok","Ab major","major-functional","40","18","14","0","3","1","1","2","1","0","0","1","3","0","2","0.25","0.25","Bb13(b9)/Eb -> C7(#9)/Eb (altered) / C7(#9)/Eb -> G7alt (altered) / G7alt -> D/E (high-altered) / C7(#9) -> Fm (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes alteradas sem alvo imediato; resoluções cromáticas tipo SubV"
"imported-real-book/d-025-Donna Lee.musicxml","Donna Lee","ok","C major","blues","44","18","18","0","0","0","0","0","0","0","0","2","3","0","2","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/d-026-Don't blame me.musicxml","Don't blame me","ok","C major","blues","45","23","17","5","1","0","1","0","0","5","0","6","0","3","0","1","0","G13 -> C (color) / G13sus4 -> G13 (color) / G13 -> C6 (color) / B7(b9) -> Em7 (altered) / G13sus4 -> G13 (color) / G13 -> C6 (color)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/d-028-Don't go to strangers.musicxml","Don't go to strangers","ok","C major","blues","43","15","14","0","1","0","1","0","0","0","0","1","2","0","2","1","0","A7(b9) -> Dm7 (altered)","dominantes alteradas com resolução local; resoluções cromáticas tipo SubV"
"imported-real-book/d-029-Don't take your love from me.musicxml","Don't take your love from me","ok","Db major","blues","31","5","4","1","0","0","0","0","0","1","0","0","0","0","0","0","0","Eb9 -> Abm9 (color)","dominantes coloridas recorrentes"
"imported-real-book/d-030-Doodlin'.musicxml","Doodlin'","ok","G minor","minor-functional","41","19","19","0","0","0","0","0","0","0","0","6","5","1","3","0","0","","resoluções cromáticas tipo SubV"
